class,subclass,mag_u,mag_g,mag_r,mag_i,mag_z,redshift,flux_u,flux_g,flux_r,flux_i,flux_z,photRA,specRA,photDec,specDec,petrosianRadius_u,deVEffectiveRadius_u,petrosianRadius_z,deVEffectiveRadius_z
GALAXY,STARBURST,20.35568,19.24214,18.84171,18.50106,18.34395,0.134852,6.400364,12.35553,18.48154,25.52234,27.80348,12.65248732,12.652482,0.27381475,0.273806,2.512928,2.617514,2.11525,1.724774
GALAXY,STARBURST,20.05515,19.2763,18.72758,18.45883,18.25487,0.1906631,3.478558,7.464083,12.58883,16.32586,15.98873,12.73130397,12.731282,0.220391778,0.220343,2.969736,10.45748,6.832418,5.945514
GALAXY,STARFORMING,20.10803,19.05441,18.44108,18.09502,17.90781,0.1900582,6.972277,9.779463,18.06815,25.38311,29.5236,12.86012362,12.860112,0.362482983,0.36248,4.180377,7.935854,6.867827,4.454456
GALAXY,STARFORMING,17.01708,15.96394,15.47253,15.16507,14.9246,0.05306964,33.63081,68.51109,101.0252,131.3218,152.2557,176.7870903,176.78712,50.99972359,50.999727,8.315713,5.672609,8.73926,9.095531
GALAXY,STARFORMING,19.95831,18.37688,17.60656,17.27294,16.99536,0.02966616,10.60401,23.79388,47.18395,64.64526,78.4728,179.8430864,179.8431,51.30251777,51.30254,4.185339,2.168374,3.62576,1.517026
GALAXY,STARBURST,18.27435,17.40991,17.00472,16.6469,16.52138,0.0558201,47.69518,76.8047,110.572,152.4485,166.6021,180.12701,180.12704,51.34793764,51.34796,2.259544,0.6132669,2.414519,0.9017383
GALAXY,STARFORMING,18.34991,17.23836,16.78893,16.46983,16.30243,0.06182194,12.96861,27.89256,43.14219,56.47228,63.94194,180.0982759,180.09828,51.18185846,51.181908,6.365062,11.33532,6.51053,9.57351
GALAXY,STARFORMING,20.20412,18.73548,17.86381,17.41231,17.1436,0.1264997,6.745482,13.72645,31.10497,46.51856,60.27183,180.1177833,180.11779,51.21541611,51.215443,3.145935,3.296945,4.399259,4.087948
GALAXY,AGN,19.6299,18.16182,17.23556,16.79188,16.50976,0.1275472,9.161617,23.14527,56.01764,83.15295,106.6205,180.2863999,180.28642,51.23540834,51.235423,5.94365,3.013366,5.29782,1.597066
GALAXY,BROADLINE,18.9823,17.40158,16.71631,16.36751,16.12315,0.1463461,16.67803,50.34163,100.1857,138.3295,167.8631,175.9280402,175.92804,51.32718209,51.327187,4.284919,2.125003,3.883125,1.448014
GALAXY,STARFORMING,19.13405,17.79927,17.17569,16.79925,16.5481,0.05133684,9.497877,21.75756,41.95758,61.02944,72.02532,176.271721,176.27172,51.46521154,51.465212,6.622499,11.35062,4.921283,6.691089
GALAXY,STARFORMING,19.23765,18.03673,17.49728,17.18305,17.00595,0.09598328,5.120672,17.39371,30.15871,41.18886,45.81678,176.5285187,176.52855,51.53536413,51.535362,5.153034,8.319507,5.009886,5.352035
