u,g,r,i,z,class,subclass
20.37908,20.13563,20.50192,20.92171,21.74971,STAR,OB
17.78232,18.12498,18.64723,19.11256,19.28461,STAR,WD
18.54306,18.00644,18.38212,18.66043,18.81758,STAR,A0
19.60469,19.34772,19.65498,19.95774,19.94934,STAR,WD
19.79634,19.66039,19.95965,20.29989,20.39537,STAR,WD
19.8171,19.41109,19.61998,19.88083,19.85959,STAR,WD
19.58649,19.11521,19.31314,19.51237,19.7421,STAR,WD
18.85499,18.76746,19.17921,19.45956,19.75051,STAR,WD
19.24716,19.47023,19.94445,20.29676,20.54156,STAR,B9
19.24697,19.33478,19.64655,19.88088,20.30407,STAR,OB
20.03842,19.57715,19.94359,20.12575,20.21531,STAR,WD
15.87408,15.87494,16.17834,16.37266,16.51771,STAR,A0p
17.81756,18.04627,18.534,18.81933,19.1631,STAR,WD
20.51974,20.22739,20.59968,20.76312,21.63883,STAR,WD
18.91207,18.44948,18.631,18.83711,19.09408,STAR,WD
19.44473,19.48779,19.83991,20.10758,20.26266,STAR,OB
19.51737,19.09347,19.2532,19.38385,19.62428,STAR,WD
19.7447,19.24806,19.50534,19.6983,19.85571,STAR,WD
19.05695,18.62157,18.82412,19.02063,19.39956,STAR,WD
18.0358,18.103,18.54628,18.86661,19.20274,STAR,WD
19.21465,19.37274,19.83998,20.22009,20.52987,STAR,A0p
18.32417,18.33791,18.58087,18.81991,18.94719,STAR,OB
19.64457,19.26925,19.50922,19.69964,19.91283,STAR,WD
17.60254,17.41821,17.75796,18.02167,18.27547,STAR,WD
16.99098,16.52928,16.68446,16.84429,17.02662,STAR,WD
20.03183,19.9977,20.32079,20.54474,20.99786,STAR,WD
17.60669,17.62259,18.0458,18.34966,18.54649,STAR,WD
17.6578,17.41355,17.70305,17.92326,18.29741,STAR,WD
19.01846,18.98748,19.39579,19.74191,19.95952,STAR,WD
20.34589,19.85813,20.05312,20.13075,20.49269,STAR,WD
19.93028,19.97059,20.32737,20.63754,21.01322,STAR,WD
18.65864,18.97021,19.28522,19.47329,19.60895,STAR,O
17.44472,17.08228,17.35225,17.61046,17.84605,STAR,WD
19.67392,19.27013,19.53148,19.6998,20.13046,STAR,WD
19.35158,19.26176,19.51095,19.78658,20.17693,STAR,WD
17.55561,17.52077,17.90594,18.18819,18.52799,STAR,WD
19.74796,19.8466,20.15215,20.44715,20.41525,STAR,OB
19.95598,20.15795,20.42113,20.51753,20.48006,STAR,B6
18.83111,18.52229,18.75403,18.96477,19.17251,STAR,WD
15.45491,15.12892,15.45317,15.7395,15.95359,STAR,A0p
19.78639,19.42037,19.6363,19.87524,20.11267,STAR,WD
17.02438,16.64074,16.88099,17.10538,17.36378,STAR,WD
19.1389,19.47078,19.86918,20.28712,20.75762,STAR,A0p
20.43752,20.0586,20.36424,20.44677,20.95587,STAR,WD
20.96353,19.02562,17.3924,15.24321,14.08599,STAR,M6
19.70754,19.22983,19.45176,19.68751,20.02345,STAR,WD
20.55915,19.72498,19.43568,19.31988,19.36299,STAR,F5
18.16655,18.05022,18.16426,18.31994,18.44689,STAR,A0
18.10116,18.22786,18.66,18.98667,19.29286,STAR,WD
19.51163,19.35514,19.66286,19.87183,20.12165,STAR,WD
18.76551,19.11074,19.57441,19.8548,20.15758,STAR,WD
17.37014,17.39217,17.6191,17.86954,17.96903,STAR,WD
18.85785,18.73699,19.06379,19.25592,19.57812,STAR,WDmagnetic
14.64851,14.98604,15.45905,15.7825,16.12084,STAR,B9
20.48432,20.62271,20.89595,21.63644,21.05086,STAR,WD
