spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class,subclass
9.796724,10.70408,8.922672,6.453579,4.479162,STAR,WD
26.66171,32.6604,26.54586,21.7515,17.86702,STAR,WD
18.64342,21.54522,17.13447,14.00411,11.34858,STAR,WD
8.898545,10.96102,9.447627,7.75204,6.779408,STAR,WD
16.02078,21.83617,18.80997,15.46835,12.94558,STAR,WD
29.92193,34.52228,26.86909,21.56259,16.83254,STAR,WD
17.76892,14.26397,10.10161,10.13955,11.67481,STAR,WD
32.13929,24.19586,17.68691,13.79353,10.27565,STAR,WD
16.11893,12.02379,8.354304,6.476963,4.643439,STAR,B9
4.895748,5.443363,4.409642,3.299956,0.4360994,STAR,WD
94.40982,59.63308,39.20956,29.11049,22.9229,STAR,O
44.05343,34.55027,27.28971,21.97869,19.12475,STAR,OB
8.593335,8.764484,7.925687,6.778907,5.558721,STAR,WD
15.75545,15.10185,12.26957,10.07354,8.889144,STAR,WD
133.6517,126.4689,93.67357,74.97166,63.64253,STAR,A0
5.001597,7.034549,6.249933,6.117897,6.063715,STAR,WD
5.114581,5.998525,5.771622,7.461823,9.185269,STAR,M4
11.84863,10.2781,7.244549,4.895805,2.234776,STAR,OB
17.3896,20.88153,16.43645,13.11135,9.380651,STAR,WD
24.15319,28.81456,21.17112,16.71951,12.44519,STAR,WD
12.16965,7.96857,4.535529,2.450141,1.724521,STAR,T2
22.5564,26.29762,27.38895,27.43029,25.60448,STAR,CV
142.6739,129.2552,94.42999,75.35842,61.64787,STAR,A0p
10.33002,10.29834,7.768209,5.842956,4.217573,STAR,WD
6.926223,8.226393,6.941113,5.878139,4.659412,STAR,WD
13.51015,13.03736,9.739683,7.788061,6.948335,STAR,OB
